rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐẠI TÁ LÊ PHÚC THẮNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,H15,,H,15,ĐẠI TÁ,LÊ PHÚC THẮNG,ĐẠI TÁ | LÊ PHÚC THẮNG | NGUYÊN CHỦ NHIỆM | KỸ THUẬT QUÂN KHU
ĐẠI TÁ NGUYỄN HỮU CHỈNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H17,,H,17,ĐẠI TÁ,NGUYỄN HỮU CHỈNH,ĐẠI TÁ | NGUYỄN HỮU CHỈNH | NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU
ĐẠI TÁ TRẦN XUÂN SƠN,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,H19,,H,19,ĐẠI TÁ,TRẦN XUÂN SƠN,ĐẠI TÁ | TRẦN XUÂN SƠN | NGUYÊN CHÍNH ỦY | CỤC KỸ THUẬT QK
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TIẾNG NÓI,VIỆT NAM V0V KHU VỰC MIỀN TRUNG,I20,,I,20,ĐẠI BIỂU LÃNH ĐẠO,ĐÀI TIẾNG NÓI,ĐẠI BIỂU LÃNH ĐẠO | ĐÀI TIẾNG NÓI | VIỆT NAM V0V KHU VỰC MIỀN TRUNG
ĐẠI BIỂU LÃNH ĐẠO CỔNG THÔNG TIN,ĐIỆN TỬ ĐCS VIỆT NAM,I18,,I,18,ĐẠI BIỂU LÃNH ĐẠO,CỔNG THÔNG TIN,ĐẠI BIỂU LÃNH ĐẠO | CỔNG THÔNG TIN | ĐIỆN TỬ ĐCS | VIỆT NAM
ĐẠI BIỂU LÃNH ĐẠO BÁO QUÂN ĐỘI,NHÂN DÂN,I16,,I,16,ĐẠI BIỂU LÃNH ĐẠO,BÁO QUÂN ĐỘI,ĐẠI BIỂU LÃNH ĐẠO | BÁO QUÂN ĐỘI | NHÂN DÂN
THƯỢNG TÁ HỒ NGỌC DUY,CHỈ HUY TRƯỞNG TRUNG TÂM 386,I14,,I,14,THƯỢNG TÁ,HỒ NGỌC DUY,THƯỢNG TÁ | HỒ NGỌC DUY | CHỈ HUY TRƯỞNG | TRUNG TÂM 386
THƯỢNG TÁ ĐẶNG ĐÌNH KHIÊM,GIÁM ĐỐC CÔNG TY THÀNH AN 96,I12,,I,12,THƯỢNG TÁ,ĐẶNG ĐÌNH KHIÊM,THƯỢNG TÁ | ĐẶNG ĐÌNH KHIÊM | GIÁM ĐỐC CÔNG TY | THÀNH AN 96
THƯỢNG TÁ PHẠM NHƯ ÁNH,PHÓ TỔNG GIÁM ĐỐC NGÂN HÀNG MB,I10,,I,10,THƯỢNG TÁ,PHẠM NHƯ ÁNH,THƯỢNG TÁ | PHẠM NHƯ ÁNH | PHÓ TỔNG GIÁM ĐỐC | NGÂN HÀNG MB
ĐẠI BIỂU TẬP ĐOÀN VIETTEL,ĐÀ NẴNG,I8,,I,8,ĐẠI BIỂU,TẬP ĐOÀN VIETTEL,ĐẠI BIỂU | TẬP ĐOÀN VIETTEL | ĐÀ NẴNG
ĐẠI TÁ ĐÀO XUÂN VŨ,PHÓ TỔNG GIÁM ĐỐC TẬP ĐOÀN VIETTEL,I6,,I,6,ĐẠI TÁ,ĐÀO XUÂN VŨ,ĐẠI TÁ | ĐÀO XUÂN VŨ | PHÓ TỔNG GIÁM ĐỐC | TẬP ĐOÀN VIETTEL
ĐẠI TÁ NGUYỄN MINH ĐỨC,CHÍNH ỦY /fPK375 QC PK-KQ,I4,,I,4,ĐẠI TÁ,NGUYỄN MINH ĐỨC,ĐẠI TÁ | NGUYỄN MINH ĐỨC | CHÍNH ỦY /fPK375 | QC PK-KQ
ĐẠI TÁ HOÀNG TRUNG KIÊN,CHÍNH ỦY /fKQ372 QC PK-KQ,I2,,I,2,ĐẠI TÁ,HOÀNG TRUNG KIÊN,ĐẠI TÁ | HOÀNG TRUNG KIÊN | CHÍNH ỦY /fKQ372 | QC PK-KQ
ĐẠI TÁ TRẦN KIM QUYỀN,CHÍNH ỦY CỤC HC-KT,I1,,I,1,ĐẠI TÁ,TRẦN KIM QUYỀN,ĐẠI TÁ | TRẦN KIM QUYỀN | CHÍNH ỦY CỤC HC-KT
ĐẠI TÁ LÊ THÀNH TÔN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,I3,,I,3,ĐẠI TÁ,LÊ THÀNH TÔN,ĐẠI TÁ | LÊ THÀNH TÔN | PHÓ CHỦ NHIỆM HC - KT | QUÂN KHU
ĐẠI TÁ HỒ ANH TUẤN,PHÓ CN CHÍNH TRỊ QUÂN KHU,I5,,I,5,ĐẠI TÁ,HỒ ANH TUẤN,ĐẠI TÁ | HỒ ANH TUẤN | PHÓ CN CHÍNH TRỊ | QUÂN KHU
ĐẠI TÁ NGUYỄN LÊN,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I7,,I,7,ĐẠI TÁ,NGUYỄN LÊN,ĐẠI TÁ | NGUYỄN LÊN | NGUYÊN CHỦ NHIỆM | HẬU CẦN QUÂN KHU
