rank_name,position,seat
HIỆU TRƯỞNG TRƯỜNG QUÂN SỰ,,K6
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN PB368,,K4
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN PB572,,K2
CHÍNH ỦY SƯ ĐOÀN BB307,,L20
SƯ ĐOÀN TRƯỞNG SƯ ĐOÀN BB305,,L18
CHỈ HUY TRƯỞNG BAN CHỈ HUY BĐBP T. KHÁNH HÒA,,L16
CHÍNH ỦY BAN CHỈ HUY BĐBP T. ĐĂK LĂK,,L14
CHỈ HUY TRƯỞNG BAN CHỈ HUY BĐBP T. GIA LAI,,L12
CHỈ HUY TRƯỞNG BAN CHỈ HUY BĐBP T. QUẢNG NGÃI,,L10
CHÍNH ỦY BAN CHỈ HUY BĐBP TP. ĐÀ NẴNG,,L8
CHÍNH ỦY TRƯỜNG QUÂN SỰ,,L6
CHÍNH ỦY LỮ ĐOÀN PB368,,L4
CHÍNH ỦY LỮ ĐOÀN PB572,,L2
ĐOÀN TRƯỜNG ĐOÀN KT-QP516,,M20
CHÍNH ỦY SƯ ĐOÀN BB305,,M18
CHÍNH ỦY BAN CHỈ HUY BĐBP T. KHÁNH HÒA,,M16
GIÁM ĐỐC CÔNG TY CÀ PHÊ 15,,M14
CHÍNH ỦY BAN CHỈ HUY BĐBP T. GIA LAI,,M12
CHÍNH ỦY BAN CHỈ HUY BĐBP T. QUẢNG NGÃI,,M10
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN CB270,,M8
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN TT575,,M6
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN TTG574,,M4
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN PPK573,,M2
CHÍNH ỦY ĐOÀN KT-QP516,,N20
ĐOÀN TRƯỜNG ĐOÀN KT-QP207,,N18
GIÁM ĐỐC C.TY NAM LÀO (206),,N16
CHÍNH ỦY CÔNG TY CÀ PHÊ 15,,N14
HIỆU TRƯỞNG TRƯỜNG THIẾU SINH QUÂN,,N12
LỮ ĐOÀN TRƯỞNG LỮ ĐOÀN CB280,,N10
CHÍNH ỦY LỮ ĐOÀN CB270,,N8
CHÍNH ỦY LỮ ĐOÀN TT575,,N6
CHÍNH ỦY LỮ ĐOÀN TTG574,,N4
